# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   dct: http://purl.org/dc/terms/
#   kobo: https://example.org/kobo/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   ext: https://example.org/sssom-extensions/
# extension_definitions:
#   - slot_name: source_jsonpath
#     property: ext:source_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: target_jsonpath
#     property: ext:target_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: transform_rule
#     property: ext:transform_rule
#     type_hint: http://www.w3.org/2001/XMLSchema#string
# mapping_set_id: https://gdsc.idsc.miami.edu/mappings/kobo_form_reusable
# mapping_set_title: "GDSC reusable KoboToolbox authoring form to Science-on-Schema.org"
# mapping_set_description: "Reusable, record-number-agnostic SSSOM mapping from the KoboToolbox metadata authoring form (vector/raster/table) to Science-on-Schema.org JSON-LD. Field-level union of the form schema; conditional vector-only and raster-only rows no-op harmlessly when absent. AI-assisted authoring; human curation required."
# mapping_set_target_profile: science_on_schema_org
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	predicate_id	object_id	mapping_justification	confidence	subject_label	object_label	subject_category	object_category	source_jsonpath	target_jsonpath	transform_rule	comment
kobo:collections	skos:closeMatch	schema:includedInDataCatalog	semapv:ManualMappingCuration	0.8	Collections	includedInDataCatalog	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/collections']	$.includedInDataCatalog	datacatalog_objects	D Split on space; each token becomes a DataCatalog with @id=https://gdsc.idsc.miami.edu/?collection={token}. Always prepend root GDSC DataCatalog entry (https://gdsc.idsc.miami.edu).
kobo:structure	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.75	Structure	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/structure']	$.measurementTechnique	definedterm:termSet=dataRepresentation,termSetUrl=https://gdsc.idsc.miami.edu/vocab/dataRepresentation,name=GIS Data Structure	C Emit DefinedTerm with termCode=value (vector/table/raster); inDefinedTermSet pointing to GDSC dataRepresentation vocab.
kobo:geometry	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.8	Geometry	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/geometry']	$.measurementTechnique	definedterm:termSet=vectorGeometry,termSetUrl=https://gdsc.idsc.miami.edu/vocab/vectorGeometry,name=GIS Vector Geometry	C VECTOR ONLY. Emit DefinedTerm with termCode=value (polygon, point, etc.); inDefinedTermSet pointing to GDSC vector geometry vocab.
kobo:epsg	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.8	EPSG	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/epsg']	$.spatialCoverage.additionalProperty	srs_propertyvalue:uriTemplate=http://www.opengis.net/def/crs/EPSG/0/{value}	B Append to spatialCoverage.additionalProperty as PropertyValue with name=Spatial Reference System and full OGC SRS URI as value.
kobo:source	skos:closeMatch	schema:distribution	semapv:ManualMappingCuration	0.9	Source URL	distribution	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/source']	$.distribution	datadownload_source:type=DataDownload,name=Source distribution	"D Emit {""@type"":""DataDownload"",""name"":""Source distribution"",""contentUrl"":value}; merge with format and extension mappings."
kobo:table_name	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.9	Table name	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/table_name']	$.additionalProperty[*]	property_value:name=postgis_table	B Gaia/PostGIS table name is operational metadata.
kobo:extension	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.85	Extension	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/extension']	$.distribution[0].encodingFormat	extension_to_media_type_or_string	A zip should become application/zip or remain as source extension.
kobo:format	skos:closeMatch	schema:encodingFormat	semapv:ManualMappingCuration	0.8	Format	encodingFormat	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/format']	$.distribution[0].encodingFormat	format_to_media_type_or_string	A shp describes the source data format.
kobo:update_frequency	skos:exactMatch	dct:accrualPeriodicity	semapv:ManualMappingCuration	1.0	Update frequency	accrualPeriodicity	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/update_frequency']	$['dct:accrualPeriodicity']	controlled_value	A Update frequency maps to Dublin Core accrual periodicity.
kobo:attributes	skos:closeMatch	schema:variableMeasured	semapv:ManualMappingCuration	0.85	Attributes	variableMeasured	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/attributes_group'][*]	$.variableMeasured	propertyvalue_schema_objects	E [APPROACH E] Maps attribute_name→name, attribute_description→description, attribute_type→qudt:dataType, attribute_unit→unitText, attribute_unit_concept_id→unitCode, attribute_concept_id→alternateName, temporal interval, attribute_external_id→identifier PropertyValue.
kobo:temporalCoverage	skos:closeMatch	schema:temporalCoverage	semapv:ManualMappingCuration	0.8	Temporal coverage	temporalCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/attributes_group'][*]	$.temporalCoverage	date_range_from_attributes:start=attribute_start_date,end=attribute_end_date	A Canonical temporalCoverage from attributes date range; raw time_period_start/end go to additionalProperty to avoid stacking.
kobo:rights	skos:closeMatch	schema:isAccessibleForFree	semapv:ManualMappingCuration	0.75	Rights	isAccessibleForFree	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/rights']	$.isAccessibleForFree	cc_to_boolean	A If rights URI contains creativecommons.org or license code is cc_by/cc0, emit boolean true.
kobo:record_id	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.95	Kobo record ID	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['control_group/id']	$.additionalProperty[*]	property_value:name=kobo_record_id	B [APPROACH B] Operational catalog ID from control_group/id. Works with existing property_value rule; alternative A would map to schema:identifier as a second PropertyValue with propertyID=kobo.
kobo:external_id	skos:closeMatch	schema:identifier	semapv:ManualMappingCuration	0.8	External ID	identifier	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['control_group/external_id_group'][*]['control_group/external_id_group/external_id_type']	$.identifier	property_value:name=externalId	A Curated external identifier -> schema:identifier via PropertyValue name=externalId.
kobo:license_text	skos:closeMatch	schema:usageInfo	semapv:ManualMappingCuration	0.85	License text	usageInfo	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/license_text']	$.usageInfo	string	A [APPROACH A] Human-readable license text maps to schema:usageInfo (complements license URI from license code). Pass-through string rule works today.
kobo:restrictions	skos:closeMatch	schema:conditionsOfAccess	semapv:ManualMappingCuration	0.8	Usage restrictions	conditionsOfAccess	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/restrictions']	$.conditionsOfAccess	string	A Access restriction text -> schema:conditionsOfAccess (curated: not usageInfo).
kobo:provenance	skos:exactMatch	dct:provenance	semapv:ManualMappingCuration	0.9	Provenance	provenance	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/provenance']	$['dct:provenance']	string	A [APPROACH A] Dublin Core provenance statement (Direct from source). Requires dct prefix in @context (already emitted by create_dataset_object_with_id).
kobo:resource_type	skos:closeMatch	schema:additionalType	semapv:ManualMappingCuration	0.85	Resource type	additionalType	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/resource_type']	$.additionalType	string	A Pass-through Kobo resource_type code (e.g. vector_dataset) as a plain additionalType string per schema.org Text or URL expectation.
kobo:relation_title	skos:closeMatch	schema:isRelatedTo	semapv:ManualMappingCuration	0.6	Related resource	isRelatedTo	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/relation_group'][*]['dublin_core_group/relation_group/relation_title']	$.isRelatedTo	skip_if:values=--,TBD,not_applicable,No related resources,none,N/A,tbd,n/a,unknown;string	G G: Suppress placeholder relation titles (incl. 'No related resources'); pass real titles through.
kobo:creator_type	skos:closeMatch	schema:creator	semapv:ManualMappingCuration	0.7	Creator entity type	creator	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/creator_group'][*]['dublin_core_group/creator_group/creator_type']	$.additionalProperty[*]	property_value:name=creator_type	B [APPROACH E] Sub-field of creator_group not consumed by role_organization_array. Could extend that rule to set Organization.@type from creator_type; interim B uses additionalProperty.
kobo:data_level	skos:closeMatch	schema:measurementTechnique	semapv:ManualMappingCuration	0.8	Data processing level	measurementTechnique	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/data_level']	$.measurementTechnique	definedterm:termSet=dataProcessingLevel,termSetUrl=https://gdsc.idsc.miami.edu/vocab/dataProcessingLevel,name=Data Processing Level	C [APPROACH C] derived/raw as DefinedTerm on measurementTechnique alongside structure and geometry vocab terms.
kobo:lineage	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Lineage	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/lineage']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=lineage	G [APPROACH B+G] ISO lineage suppressed when TBD; record_136 omits this row from output.
kobo:process_step	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Process step	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/process_step']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=process_step	G [APPROACH B+G] ETL process step suppressed when placeholder.
kobo:processor	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Processor	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/processor']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=processor	G [APPROACH B+G] Processing agent suppressed when placeholder.
kobo:cartography_label	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	Cartography label field	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/label']	$.additionalProperty[*]	property_value:name=label	B Cartographic label field -> additionalProperty name=label (curated).
kobo:values_field	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Cartography value field	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/values_group'][*]['cartography_group/values_group/value_field']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=values	G VECTOR ONLY. Cartographic values field -> additionalProperty name=values; suppressed when placeholder.
kobo:no_data	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.85	No-data sentinel	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/no_data_group'][*]	$.additionalProperty[*]	property_value:name=no_data	D [APPROACH D] PROPOSED_RULE no_data_propertyvalue would emit {type,value} pair (-9999 int). Interim property_value flattens dict to string repr; needs new rule for structured output.
kobo:analytic_function	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Analytic function	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/analytic_function']	$.additionalProperty[*]	property_value:name=analytic_function	B [APPROACH B] gdsc_get_attributes — Gaia query hook; maps to operational metadata not discovery metadata.
kobo:analytic_epsg	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Analytic CRS EPSG	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/analytic_epsg']	$.additionalProperty[*]	srs_propertyvalue:uriTemplate=http://www.opengis.net/def/crs/EPSG/0/{value}	B [APPROACH B] Reuses srs_propertyvalue for analytic EPSG:3857 (distinct from storage EPSG:4326 on spatialCoverage).
kobo:derivatives	skos:closeMatch	schema:distribution	semapv:ManualMappingCuration	0.75	Derivative formats	distribution	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/derivatives']	$.additionalProperty[*]	property_value:name=derivatives	B [APPROACH B] sql shp tokens. PROPOSED_RULE split_space_to_array or derivative_datadownload_objects would emit extra DataDownload entries on $.distribution.
kobo:sponsor	skos:closeMatch	schema:funder	semapv:ManualMappingCuration	0.85	Sponsor	funder	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/sponsor_group'][*]	$.funder	sponsor_organization_array:name=sponsor_name,url=sponsor_url	D [APPROACH D] sponsor_organization_array emits Organization objects with name and url for each sponsor_group entry (TuftsCTSI, IDSC, Library in record_136).
kobo:collection_status	skos:closeMatch	schema:creativeWorkStatus	semapv:ManualMappingCuration	0.8	Collection status	creativeWorkStatus	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/status']	$.creativeWorkStatus	controlled_value	A [APPROACH C] Publication status (draft/published) to schema:creativeWorkStatus. TEAM CHANGE from measurementTechnique; Doug informed.
kobo:disclaimer	skos:closeMatch	schema:disambiguatingDescription	semapv:ManualMappingCuration	0.7	Disclaimer	disambiguatingDescription	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/disclaimer']	$.disambiguatingDescription	string	A [APPROACH A] Free-text disclaimer separate from description. record_136 has no disclaimers — still maps cleanly.
kobo:etl_service	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.75	ETL service	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/service']	$.additionalProperty[*]	property_value:name=etl_service	B [APPROACH B] not_applicable in record_136. Operational ETL routing metadata.
kobo:etl_parameters	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	ETL parameters	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/parameters']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=etl_parameters	G [APPROACH B+G] ETL parameters suppressed when placeholder (-- in record_136).
kobo:download_method	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Download method	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/download']	$.additionalProperty[*]	property_value:name=download_method	B [APPROACH B] wget/curl etc. Could enrich datadownload_source rule to set acquisitionProtocol.
kobo:file_name	skos:closeMatch	schema:distribution	semapv:ManualMappingCuration	0.85	Source file name	distribution	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/file_name_group'][*]	$.additionalProperty[*]	property_value:name=source_file	D [APPROACH D] PROPOSED_RULE file_name_objects:archive=field,file=field would attach name/contentUrl to distribution. Interim row is lossy on nested file_name_group.
kobo:bash_etl	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.65	Bash ETL script	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/bash_etl']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=bash_etl	G [APPROACH B+G] Bash ETL script suppressed when TBD placeholder.
kobo:sql_transform	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.65	SQL transform	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/sql_transform']	$.additionalProperty[*]	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=sql_transform	G [APPROACH B+G] SQL transform suppressed when TBD placeholder.
kobo:_submission_meta	skos:noMatch		semapv:ManualMappingCuration	1.0	Kobo submission metadata		owl:ObjectProperty		$.datasets[*]['_submission_time']			F Kobo envelope/system fields intentionally excluded (one representative row): _uuid,__version__,_submission_time,_xform_id_string,_status,_tags,_notes,_geolocation,_validation_status,_submitted_by,formhub/uuid,meta/instanceID,meta/rootUuid.
kobo:_attachments	skos:noMatch		semapv:ManualMappingCuration	1.0	Kobo attachments		owl:ObjectProperty		$.datasets[*]['_attachments']			F Attachments are submission infrastructure; not emitted. If media needed, map etl_group/source instead.
kobo:band_group	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Band Group	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/band_group'][*]	$.additionalProperty	property_value:name=band	D RASTER ONLY. D: RASTER ONLY. Band group to additionalProperty (band_name); no-ops on vector.
kobo:pixel_dimension	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Pixel Dimension	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/pixel_dimension']	$.additionalProperty	property_value:name=pixelDimension	B RASTER ONLY. B: RASTER ONLY. Pixel dimension.
kobo:dimension_units	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.7	Dimension Units	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/dimension_units']	$.additionalProperty	property_value:name=dimensionUnits	B RASTER ONLY. B: RASTER ONLY. Dimension units.
kobo:time_period_start	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Time Period Start	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/time_period_start']	$.additionalProperty	property_value:name=timePeriodStart	B B: Raw temporal start as additionalProperty (temporalCoverage comes from attribute date range).
kobo:time_period_end	skos:closeMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.8	Time Period End	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/time_period_end']	$.additionalProperty	property_value:name=timePeriodEnd	B B: Raw temporal end as additionalProperty (temporalCoverage comes from attribute date range).
kobo:extent	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Extent	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['iso_group/extent']	$.additionalProperty	property_value:name=extent	B B: Bounding-box extent.
kobo:checksum	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Checksum	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/checksum']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=checksum	G G: Checksum; suppress placeholder else additionalProperty.
kobo:podid	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Podid	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/podid']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=podid	G G: Pod id; suppress placeholder.
kobo:up	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Up	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/up']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=up	G G: 'up' flag; suppress placeholder.
kobo:custom_parameters	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Custom Parameters	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/custom_parameters']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=customParameters	G G: Custom parameters; suppress placeholder.
kobo:columns_group	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Columns Group	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/columns_group'][*]	$.additionalProperty	property_value:name=columns	B B: Column-name list to additionalProperty (columns_group has column_name only, not attribute_* subfields).
kobo:index_fields_group	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Index Fields Group	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/index_fields_group'][*]	$.additionalProperty	property_value:name=indexFields	B B: Index fields group.
kobo:service_definition	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.5	Service Definition	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/service_definition']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,tbd,n/a,N/A,none,unknown;property_value:name=serviceDefinition	G G/PENDING: Service definition; curator to confirm target.
kobo:thumbnail	skos:closeMatch	schema:image	semapv:ManualMappingCuration	0.7	Thumbnail	image	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/thumbnail']	$.image	string	A A: Thumbnail URL to schema:image.
kobo:color_ramp	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Color Ramp	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/color_ramp']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,N/A,none,unknown,No related resources,tbd,n/a;property_value:name=colorRamp	G B: RASTER family. Raster styling ramp; operational metadata, no standard term.
kobo:legend	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Legend	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/legend']	$.additionalProperty	skip_if:values=--,TBD,not_applicable,N/A,none,unknown,No related resources,tbd,n/a;property_value:name=legend	G B/G: Legend definition; frequently TBD so placeholders suppressed.
kobo:tile_url_group	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Tile URL Group	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/tile_url_group'][*]	$.additionalProperty	property_value:name=tileBaseUrl	B B: RASTER/RASTER_TILES ONLY. Sub-field tile_base_url only - NOT propertyvalue_schema_objects.
kobo:tile_zoom_group	skos:relatedMatch	schema:additionalProperty	semapv:ManualMappingCuration	0.6	Tile Zoom Group	additionalProperty	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['cartography_group/tile_zoom_group'][*]	$.additionalProperty	property_value:name=tileMinZoom	B B: RASTER/RASTER_TILES ONLY. Sub-field tile_min_zoom only - NOT propertyvalue_schema_objects.
